,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
382,383,体外诊断,BK0841,1254.95,-7.93,-0.63,934904336000,1.55,21,45,硕世生物,3.89
383,384,同步磁阻电机,BK1131,1471.63,-9.31,-0.63,63518123000,1.62,2,4,科汇股份,0.44
384,385,小红书概念,BK1187,1167.94,-7.5,-0.64,490670816000,4.07,23,41,姚记科技,6.28
385,386,SPD概念,BK1147,925.99,-6.07,-0.65,67542072000,2.5,3,8,国科恒泰,0.68
386,387,百元股,BK1059,607.05,-4.0,-0.65,12141306624000,1.1,31,52,联合化学,8.58
387,388,蓝宝石,BK0674,2330.19,-15.47,-0.66,479604048000,1.27,3,15,华工科技,0.97
388,389,电商概念,BK0665,2155.6,-14.55,-0.67,6333162240000,2.02,109,216,石基信息,10.01
389,390,网络游戏,BK0509,12220.67,-83.18,-0.68,914836000000,3.11,18,46,姚记科技,6.28
390,391,冰雪经济,BK1185,934.42,-6.41,-0.68,231041452000,4.18,12,21,天府文旅,5.5
391,392,虚拟机器人,BK1190,1077.12,-7.52,-0.69,559112576000,1.7,5,7,青矩技术,1.11
392,393,快递概念,BK0990,990.71,-7.12,-0.71,607066736000,1.89,11,28,天顺股份,3.71
393,394,宁组合,BK1000,507.61,-3.66,-0.72,4214581376000,0.58,3,21,石头科技,0.6
394,395,抖音小店,BK0928,1251.06,-9.12,-0.72,245562709000,1.47,8,20,天创时尚,3.51
395,396,进口博览,BK0850,966.7,-6.99,-0.72,238992238000,0.66,2,12,外高桥,0.45
396,397,数字哨兵,BK1084,1595.12,-11.93,-0.74,95099495000,4.99,4,8,恒实科技,4.15
397,398,抖音概念(字节概念),BK0923,1329.0,-9.85,-0.74,805360848000,4.25,25,56,姚记科技,6.28
398,399,科创板做市商,BK1107,1377.66,-10.44,-0.75,1880977056000,0.4,1,13,国泰海通,0.38
399,400,新零售,BK0825,1024.99,-7.74,-0.75,2598254032000,1.69,40,98,石基信息,10.01
400,401,社区团购,BK0965,903.66,-6.91,-0.76,559929744000,1.54,11,25,宏辉果蔬,2.97
401,402,毫米波概念,BK1124,1474.54,-11.65,-0.78,530185024000,2.49,7,34,星宸科技,4.07
402,403,AI制药（医疗）,BK1170,1185.2,-9.71,-0.81,432605648000,2.45,6,32,华海药业,2.98
403,404,数据确权,BK1118,1486.16,-12.16,-0.81,273737520000,4.75,11,22,铜牛信息,4.51
404,405,首发经济,BK1186,930.03,-7.57,-0.81,287733104000,2.65,8,31,*ST亚振,4.58
405,406,增强现实,BK0801,1140.55,-9.45,-0.82,605695760000,2.03,10,34,游族网络,1.91
406,407,毛发医疗,BK0996,889.43,-7.54,-0.84,92545744000,2.29,5,9,华邦健康,1.2
407,408,啤酒概念,BK1073,1170.89,-10.08,-0.85,261705138000,2.78,5,10,燕京啤酒,1.59
408,409,跨境支付,BK1071,1655.61,-14.31,-0.86,12225046784000,0.31,16,36,石基信息,10.01
409,410,跨境电商,BK1115,1451.32,-12.6,-0.86,1621240112000,2.38,45,104,汇洁股份,4.8
410,411,CRO,BK0899,1414.34,-12.23,-0.86,526305008000,3.71,7,30,联化科技,6.93
411,412,减速器,BK1100,1652.25,-14.48,-0.87,666317520000,3.54,13,56,德新科技,10.04
412,413,租售同权,BK0822,737.3,-6.52,-0.88,389472832000,0.91,5,12,*ST南置,1.5
413,414,AI智能体,BK0809,1090.74,-9.65,-0.88,943604240000,3.41,20,53,流金科技,3.84
414,415,PLC概念,BK1119,1247.25,-11.27,-0.9,323698176000,1.65,2,7,睿能科技,0.8
415,416,抗菌面料,BK1116,1331.65,-12.48,-0.93,88386345000,2.52,5,9,欣贺股份,0.94
416,417,轮毂电机,BK1099,1041.39,-10.08,-0.96,60412491000,2.05,1,7,泉峰汽车,0.58
417,418,ChatGPT概念,BK1126,1904.91,-18.82,-0.98,1930926960000,2.74,23,50,梦网科技,3.76
418,419,券商概念,BK0711,1047.39,-10.65,-1.01,3797600784000,0.62,1,54,国泰海通,0.38
419,420,举牌,BK0685,2263.82,-23.11,-1.01,234540868000,0.87,4,6,ST先河,2.29
420,421,发电机概念,BK1014,1590.68,-16.4,-1.02,156055342000,5.04,9,12,智慧农业,2.58
421,422,人形机器人,BK1184,1367.16,-14.71,-1.06,2616355008000,1.99,21,105,华培动力,8.04
422,423,宠物经济,BK0993,914.66,-9.96,-1.08,364736160000,2.64,18,35,昂利康,9.98
423,424,飞行汽车(eVTOL),BK1157,1767.47,-19.26,-1.08,791662592000,3.17,14,56,拓斯达,3.59
424,425,蚂蚁概念,BK0937,763.61,-8.39,-1.09,5107326976000,0.64,19,34,ST易联众,2.4
425,426,数字货币,BK0883,1892.27,-21.5,-1.12,856630560000,5.3,17,57,中嘉博创,10.09
426,427,乳业,BK0892,1173.08,-14.88,-1.25,469895328000,2.2,5,21,均瑶健康,5.8
427,428,EDA概念,BK0946,1163.03,-15.25,-1.29,227013736000,2.03,2,10,同济科技,3.32
428,429,NFT概念,BK0997,1616.2,-22.83,-1.39,529797200000,3.81,10,41,ST证通,2.59
429,430,谷子经济,BK1183,1091.26,-15.61,-1.41,547530272000,3.88,13,49,姚记科技,6.28
430,431,培育钻石,BK1023,1324.79,-20.0,-1.49,158121501000,2.95,1,13,*ST亚振,4.58
431,432,MLOps概念,BK1132,989.71,-15.35,-1.53,151638114000,3.15,2,7,绿盟科技,1.24
432,433,机器人执行器,BK1145,1513.05,-24.72,-1.61,441816832000,2.13,2,23,联诚精密,0.79
433,434,昨日触板,BK0817,93.22,-1.64,-1.73,188839551000,11.62,11,24,重庆建工,9.88
434,435,盲盒经济,BK0954,1211.9,-30.31,-2.44,108066303000,6.08,0,11,顺网科技,-0.79
